DEPTH_LSF,UCAV,RHON,GR_RAB,GRMA,BPHI,TNPH,A40B,RES_BD,P16B,VCO,VSH
145.0672,9.256253,1.762596,85.78848,57.95354,53.2504,51.9619,1.544034,1.79977,1.393676,,
145.2196,9.346389,1.759777,85.25611,56.35559,56.1943,56.7999,1.539864,1.935319,1.338766,,
145.372,9.18822,1.75535,83.85876,56.4002,58.8696,61.4633,1.538779,1.006906,1.303398,,
145.5244,9.198437,1.768879,82.46654,56.22719,52.6587,51.2613,1.514903,1.057108,1.378811,,
145.6768,9.172379,1.796671,82.0178,58.03346,53.7113,54.143,1.504558,1.683684,1.413077,,
145.8292,9.197497,1.793496,83.63175,58.67382,54.9325,56.1138,1.482688,1.634731,1.461172,,
145.9816,9.158755,1.813601,81.19906,60.63003,48.8194,46.9612,1.474848,1.588981,1.444649,,
146.134,9.144883,1.824566,77.29276,62.7106,51.4151,51.4598,1.472611,1.610802,1.431502,,
146.2864,9.181867,1.829885,77.91817,63.9432,48.8184,47.5387,1.459161,1.504871,1.41224,,
146.4388,9.137698,1.83056,78.28636,65.34848,49.0418,47.9079,1.447876,1.61461,1.407102,,
146.5912,9.141875,1.814833,76.9114,64.75098,51.2207,50.7585,1.440557,1.620764,1.40408,,
